2023-11-17 03:58:03.566 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application.properties
2023-11-17 03:58:03.566 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yaml
2023-11-17 03:58:03.566 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yml
2023-11-17 03:58:03.567 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.xml
2023-11-17 03:58:03.567 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.properties
2023-11-17 03:58:03.567 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application-default.yaml
2023-11-17 03:58:03.567 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application-default.yml
2023-11-17 03:58:03.567 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application-default.xml
2023-11-17 03:58:03.567 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application-default.properties
2023-11-17 03:58:03.568 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.yaml
2023-11-17 03:58:03.568 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.yml
2023-11-17 03:58:03.568 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.xml
2023-11-17 03:58:03.568 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.properties
2023-11-17 03:58:03.568 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Considering resource class path resource [application.yml] from location optional:classpath:/;optional:classpath:/config/
2023-11-17 03:58:03.569 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Already loaded resource class path resource [application.yml] ignoring location optional:classpath:/;optional:classpath:/config/
2023-11-17 03:58:03.569 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Nothing imported
2023-11-17 03:58:03.569 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processed imports for of 2 contributors
2023-11-17 03:58:03.569 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Applying config data environment contributions
2023-11-17 03:58:03.570 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Adding imported property source 'Config resource 'class path resource [application.yml]' via location 'optional:classpath:/''
2023-11-17 03:58:03.570 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Setting default profiles: [default]
2023-11-17 03:58:03.570 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Setting active profiles: []
2023-11-17 03:58:03.577 TRACE  [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6e4de19b, started on Fri Nov 17 03:58:03 IST 2023
2023-11-17 03:58:03.603 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Registering scope 'request' with implementation [org.springframework.web.context.request.RequestScope@2555fff0]
2023-11-17 03:58:03.604 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Registering scope 'session' with implementation [org.springframework.web.context.request.SessionScope@702ed190]
2023-11-17 03:58:03.645 DEBUG  [main] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-11-17 03:58:03.649 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-11-17 03:58:03.709 DEBUG  [main] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-11-17 03:58:03.710 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-11-17 03:58:03.713 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-11-17 03:58:03.719 TRACE  [main] o.s.c.i.s.SpringFactoriesLoader - Loaded [org.springframework.beans.BeanInfoFactory] names: []
2023-11-17 03:58:03.720 TRACE  [main] o.s.beans.CachedIntrospectionResults - Getting BeanInfo for class [org.springframework.context.annotation.ConfigurationClassPostProcessor]
2023-11-17 03:58:03.727 TRACE  [main] o.s.beans.CachedIntrospectionResults - Caching PropertyDescriptors for class [org.springframework.context.annotation.ConfigurationClassPostProcessor]
2023-11-17 03:58:03.733 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'applicationStartup' of type [org.springframework.core.metrics.ApplicationStartup]
2023-11-17 03:58:03.734 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'beanClassLoader' of type [java.lang.ClassLoader]
2023-11-17 03:58:03.734 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'beanExcludedFromAotProcessing' of type [boolean]
2023-11-17 03:58:03.736 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'beanNameGenerator' of type [org.springframework.beans.factory.support.BeanNameGenerator]
2023-11-17 03:58:03.739 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'class' of type [java.lang.Class]
2023-11-17 03:58:03.742 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'environment' of type [org.springframework.core.env.Environment]
2023-11-17 03:58:03.745 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'metadataReaderFactory' of type [org.springframework.core.type.classreading.MetadataReaderFactory]
2023-11-17 03:58:03.745 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'order' of type [int]
2023-11-17 03:58:03.747 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'problemReporter' of type [org.springframework.beans.factory.parsing.ProblemReporter]
2023-11-17 03:58:03.752 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'resourceLoader' of type [org.springframework.core.io.ResourceLoader]
2023-11-17 03:58:03.753 TRACE  [main] o.s.beans.CachedIntrospectionResults - Found bean property 'sourceExtractor' of type [org.springframework.beans.factory.parsing.SourceExtractor]
2023-11-17 03:58:03.760 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-11-17 03:58:03.797 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - JSR-250 'jakarta.annotation.ManagedBean' found and supported for component scanning
2023-11-17 03:58:03.807 TRACE  [main] o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved module-path location pattern [com/bb/fileUp/**/*.class] to resources []
2023-11-17 03:58:03.808 TRACE  [main] o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved module-path location pattern [com/bb/fileUp/] to resources []
2023-11-17 03:58:03.811 TRACE  [main] o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved classpath location [com/bb/fileUp/] to resources [file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp]]
2023-11-17 03:58:03.816 TRACE  [main] o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp] for files matching pattern [**/*.class]
2023-11-17 03:58:03.843 TRACE  [main] o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved location pattern [classpath*:com/bb/fileUp/**/*.class] to resources [file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/FileUploadMainApp.class], file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/conf/SpringConfig.class], file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/entity/UploadStatus.class], file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/service/ThreadSample.class], file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/web/FileUploadController.class]]
2023-11-17 03:58:03.843 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Scanning file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/FileUploadMainApp.class]
2023-11-17 03:58:03.865 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/FileUploadMainApp.class]
2023-11-17 03:58:03.865 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Scanning file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/conf/SpringConfig.class]
2023-11-17 03:58:03.876 DEBUG  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/conf/SpringConfig.class]
2023-11-17 03:58:03.877 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Scanning file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/entity/UploadStatus.class]
